Nombre_2,Apellido_2,CUI_2,InstitucionBancaria_2,AbreviacionInstitucion_2,TipoCuenta_2,SaldoInicial_2,,,
Nelia,Hathway,1962610551,Banco G&T,G&T,Monetaria en Q,2131,,,
Tripp,Ingree,3888897025,Banco Agromercantil,BAM,Ahorro,1610,,,
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Tina,De Beauchemp,6668839878,Banco Industrial,BI,Ahorro,0,,,
Riva,Gaven,2897073799,Banco Promerica,Promerica,Monetaria en $,0,,,
Joelynn,De Gregoli,9835876975,Banco G&T,G&T,Monetaria en Q,3214,,,
Vassili,Drowsfield,3345353652,Banco G&T,G&T,Monetaria en $,446,,,
Arleta,Umbert,1805028979,Banco Promerica,Promerica,Monetaria en Q,305,,,
Koressa,Knowler,7737952055,Banco G&T,G&T,Monetaria en $,0,,,
Sascha,Kennedy,4464029000,Banco Promerica,Promerica,Ahorro,0,,,
Elnore,Foy,6154977174,Banco de desarrollo rural,BANRURAL,Ahorro,771,,,
Daffy,Marages,2720935689,Banco G&T,G&T,Monetaria en Q,0,,,
Inga,Cromleholme,3179095431,Banco Promerica,Promerica,Monetaria en $,0,,,
Luelle,Barenskie,8068530312,Banco G&T,G&T,Monetaria en Q,0,,,
Koressa,Knowler,7737952055,Banco de desarrollo rural,BANRURAL,Monetaria en $,4560,,,
Inga,Cromleholme,3179095431,Banco Industrial,BI,Ahorro,3387,,,
Deni,Tarn,6467582497,Banco de desarrollo rural,BANRURAL,Monetaria en $,964,,,
Riva,Gaven,2897073799,Banco Promerica,Promerica,Monetaria en $,0,,,
Sunny,Alvin,6456388384,Banco Promerica,Promerica,Monetaria en $,760,,,
Colas,Feek,440057779,Banco Agromercantil,BAM,Monetaria en $,0,,,
Antonetta,Bowler,4380702766,Banco Agromercantil,BAM,Monetaria en $,2300,,,
Daffy,Marages,2720935689,Banco Promerica,Promerica,Monetaria en Q,1575,,,
Cherry,Youtead,6393106875,Banco Promerica,Promerica,Ahorro,0,,,
Deni,Tarn,6467582497,Banco G&T,G&T,Monetaria en Q,4105,,,
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0,,,
Renard,Pelchat,8373980261,Banco Promerica,Promerica,Ahorro,3011,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Caryn,Kirkham,1581008589,Banco Agromercantil,BAM,Ahorro,0,,,
Raff,Meah,3693967563,Banco Industrial,BI,Ahorro,1190,,,
Morgun,Coots,6920115220,Banco Industrial,BI,Monetaria en Q,0,,,
Koressa,Knowler,7737952055,Banco Promerica,Promerica,Ahorro,3065,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Ddene,Tant,2293083373,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0,,,
Margo,Aspinall,8574878405,Banco de desarrollo rural,BANRURAL,Monetaria en $,485,,,
Manuel,Gouldstone,2293547442,Banco Industrial,BI,Monetaria en $,0,,,
Corliss,McCord,5563911438,Banco Agromercantil,BAM,Monetaria en $,0,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782,,,
Maggee,Shergold,6816494733,Banco Industrial,BI,Monetaria en Q,0,,,
Margo,Aspinall,8574878405,Banco de desarrollo rural,BANRURAL,Monetaria en $,485,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,3027,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Leonid,Berrey,9488599294,Banco Promerica,Promerica,Monetaria en $,0,,,
Joelynn,De Gregoli,9835876975,Banco G&T,G&T,Monetaria en Q,3214,,,
Cherry,Youtead,6393106875,Banco de desarrollo rural,BANRURAL,Monetaria en Q,2311,,,
Morgun,Coots,6920115220,Banco G&T,G&T,Monetaria en $,0,,,
Paul,Fleming,5878519224,Banco Promerica,Promerica,Monetaria en $,0,,,
Sax,Stephenson,4640351089,Banco Agromercantil,BAM,Ahorro,0,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Ty,Kittow,1976810418,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Antonetta,Bowler,4380702766,Banco Agromercantil,BAM,Monetaria en $,2300,,,
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602,,,
Collie,Leatherland,3334586502,Banco G&T,G&T,Monetaria en Q,0,,,
Luelle,Barenskie,8068530312,Banco G&T,G&T,Monetaria en Q,0,,,
Devin,Sheere,2286509069,Banco Agromercantil,BAM,Ahorro,3494,,,
Jeanie,Badman,2320648240,Banco Agromercantil,BAM,Ahorro,1563,,,
Tripp,Ingree,3888897025,Banco Agromercantil,BAM,Ahorro,1610,,,
Ddene,Tant,2293083373,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Kizzie,Pettman,6981272008,Banco Promerica,Promerica,Ahorro,0,,,
Alfie,Castellaccio,2344960856,Banco Agromercantil,BAM,Monetaria en Q,690,,,
Dale,Goslin,4243293546,Banco Promerica,Promerica,Ahorro,0,,,
Renard,Pelchat,8373980261,Banco Promerica,Promerica,Ahorro,3011,,,
Devin,Sheere,2286509069,Banco G&T,G&T,Monetaria en Q,3001,,,
Deni,Tarn,6467582497,Banco Promerica,Promerica,Monetaria en $,0,,,
Morly,Pundy,1833280679,Banco Promerica,Promerica,Monetaria en Q,1254,,,
Colas,Feek,440057779,Banco Industrial,BI,Monetaria en $,0,,,
Kit,Tottman,445543914,Banco G&T,G&T,Monetaria en $,0,,,
Caryn,Kirkham,1581008589,Banco Agromercantil,BAM,Ahorro,0,,,
Kizzie,Pettman,6981272008,Banco Industrial,BI,Ahorro,0,,,
Raff,Meah,3693967563,Banco G&T,G&T,Monetaria en $,1225,,,
Sunny,Alvin,6456388384,Banco Agromercantil,BAM,Monetaria en $,0,,,
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,0,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Vassili,Drowsfield,3345353652,Banco G&T,G&T,Monetaria en $,446,,,
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Jolie,Tollfree,4105124471,Banco G&T,G&T,Monetaria en $,0,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Esme,Seifenmacher,7341877243,Banco Industrial,BI,Monetaria en $,0,,,
Willie,Brahan,3601075148,Banco G&T,G&T,Monetaria en $,3085,,,
Raff,Meah,3693967563,Banco G&T,G&T,Monetaria en $,1225,,,
Kizzie,Pettman,6981272008,Banco Industrial,BI,Ahorro,0,,,
Cherry,Youtead,6393106875,Banco de desarrollo rural,BANRURAL,Monetaria en Q,2311,,,
Corliss,McCord,5563911438,Banco Agromercantil,BAM,Monetaria en $,0,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Sascha,Kennedy,4464029000,Banco G&T,G&T,Monetaria en $,0,,,
Deni,Tarn,6467582497,Banco Agromercantil,BAM,Monetaria en Q,0,,,
Esme,Seifenmacher,7341877243,Banco Industrial,BI,Monetaria en $,0,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4275,,,
Sascha,Kennedy,4464029000,Banco Promerica,Promerica,Ahorro,0,,,
Bobbette,Dutton,930849132,Banco Promerica,Promerica,Ahorro,761,,,
Colas,Feek,440057779,Banco Agromercantil,BAM,Monetaria en $,0,,,
Nelia,Hathway,1962610551,Banco G&T,G&T,Monetaria en Q,2131,,,
Sunny,Alvin,6456388384,Banco Agromercantil,BAM,Monetaria en $,0,,,
Cherise,Pluvier,9622621546,Banco Industrial,BI,Ahorro,3285,,,
Ardys,Cave,3418211453,Banco Promerica,Promerica,Ahorro,0,,,
Elnore,Foy,6154977174,Banco de desarrollo rural,BANRURAL,Ahorro,771,,,
Hali,Peebles,1909436437,Banco Promerica,Promerica,Ahorro,3556,,,
Inga,Cromleholme,3179095431,Banco Agromercantil,BAM,Ahorro,4234,,,
Deni,Tarn,6467582497,Banco de desarrollo rural,BANRURAL,Monetaria en $,3991,,,
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0,,,
Deni,Tarn,6467582497,Banco de desarrollo rural,BANRURAL,Monetaria en $,3991,,,
Cherry,Youtead,6393106875,Banco de desarrollo rural,BANRURAL,Monetaria en Q,2311,,,
Ddene,Tant,2293083373,Banco Industrial,BI,Ahorro,0,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Ahorro,3276,,,
Alfie,Castellaccio,2344960856,Banco Agromercantil,BAM,Monetaria en Q,0,,,
Ty,Kittow,1976810418,Banco G&T,G&T,Monetaria en $,0,,,
Neill,Esser,7964176803,Banco Industrial,BI,Monetaria en Q,1322,,,
Deni,Tarn,6467582497,Banco de desarrollo rural,BANRURAL,Monetaria en $,3991,,,
Hali,Peebles,1909436437,Banco Promerica,Promerica,Monetaria en $,0,,,
Inga,Cromleholme,3179095431,Banco Industrial,BI,Ahorro,3387,,,
Tina,De Beauchemp,6668839878,Banco Promerica,Promerica,Monetaria en $,0,,,
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0,,,
Morgun,Coots,6920115220,Banco G&T,G&T,Monetaria en $,0,,,
Colas,Feek,440057779,Banco G&T,G&T,Monetaria en $,2906,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Arlin,Bruckner,7819264039,Banco Promerica,Promerica,Monetaria en Q,784,,,
Ardys,Cave,3418211453,Banco Promerica,Promerica,Ahorro,0,,,
Raff,Meah,3693967563,Banco Industrial,BI,Ahorro,1190,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Monetaria en Q,2872,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Ahorro,3276,,,
Stormy,Mathieu,1952883946,Banco Agromercantil,BAM,Ahorro,3270,,,
Boote,Pina,208181717,Banco G&T,G&T,Monetaria en $,1505,,,
Corliss,McCord,5563911438,Banco Promerica,Promerica,Monetaria en $,0,,,
Tina,De Beauchemp,6668839878,Banco Industrial,BI,Ahorro,0,,,
Tina,De Beauchemp,6668839878,Banco Industrial,BI,Ahorro,0,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Riva,Gaven,2897073799,Banco Promerica,Promerica,Monetaria en $,0,,,
Arlin,Bruckner,7819264039,Banco Promerica,Promerica,Ahorro,3228,,,
Devin,Sheere,2286509069,Banco G&T,G&T,Monetaria en Q,3001,,,
Riva,Gaven,2897073799,Banco G&T,G&T,Monetaria en Q,2316,,,
Hieronymus,Penn,3070506224,Banco de desarrollo rural,BANRURAL,Monetaria en $,1264,,,
Luelle,Barenskie,8068530312,Banco G&T,G&T,Monetaria en Q,0,,,
Inga,Cromleholme,3179095431,Banco Promerica,Promerica,Ahorro,2864,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,3027,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en $,3149,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,567,,,
Raff,Meah,3693967563,Banco G&T,G&T,Monetaria en $,1225,,,
Inga,Cromleholme,3179095431,Banco Promerica,Promerica,Ahorro,2864,,,
Koressa,Knowler,7737952055,Banco de desarrollo rural,BANRURAL,Monetaria en $,4560,,,
Neill,Esser,7964176803,Banco Industrial,BI,Monetaria en $,1053,,,
Konstanze,Blood,7873382966,Banco Industrial,BI,Ahorro,0,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en Q,0,,,
Inga,Cromleholme,3179095431,Banco Promerica,Promerica,Monetaria en $,0,,,
Dale,Goslin,4243293546,Banco G&T,G&T,Ahorro,0,,,
Cherise,Pluvier,9622621546,Banco Industrial,BI,Ahorro,3285,,,
Leann,Buncher,7589827045,Banco Industrial,BI,Monetaria en $,973,,,
Alfie,Castellaccio,2344960856,Banco G&T,G&T,Monetaria en $,0,,,
Jarid,McEniry,7858016997,Banco de desarrollo rural,BANRURAL,Ahorro,4005,,,
Arlin,Bruckner,7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en $,1663,,,
Elnore,Foy,6154977174,Banco de desarrollo rural,BANRURAL,Ahorro,771,,,
Antonetta,Bowler,4380702766,Banco Agromercantil,BAM,Monetaria en $,2300,,,
Margo,Aspinall,8574878405,Banco Industrial,BI,Monetaria en $,0,,,
Gracia,Burchill,5981356200,Banco Promerica,Promerica,Monetaria en $,2291,,,
Konstanze,Blood,7873382966,Banco Promerica,Promerica,Monetaria en Q,0,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,0,,,
Dale,Goslin,4243293546,Banco G&T,G&T,Ahorro,0,,,
Morgun,Coots,6920115220,Banco G&T,G&T,Monetaria en $,0,,,
Sax,Stephenson,4640351089,Banco Agromercantil,BAM,Ahorro,0,,,
Bobbette,Dutton,930849132,Banco Industrial,BI,Ahorro,0,,,
Devin,Sheere,2286509069,Banco G&T,G&T,Monetaria en Q,3001,,,
Alexander,Amor,7361225500,Banco Promerica,Promerica,Ahorro,0,,,
Nelia,Hathway,1962610551,Banco Promerica,Promerica,Monetaria en $,0,,,
Lauralee,Britnell,8712012858,Banco Industrial,BI,Monetaria en Q,0,,,
Hali,Peebles,1909436437,Banco Industrial,BI,Monetaria en Q,3639,,,
Phaidra,Thornthwaite,7422400781,Banco Agromercantil,BAM,Monetaria en Q,0,,,
Leonid,Berrey,9488599294,Banco Promerica,Promerica,Monetaria en $,0,,,
Joelynn,De Gregoli,9835876975,Banco Promerica,Promerica,Ahorro,4350,,,
Deni,Tarn,6467582497,Banco G&T,G&T,Monetaria en $,4968,,,
Inga,Cromleholme,3179095431,Banco Promerica,Promerica,Monetaria en $,0,,,
Riva,Gaven,2897073799,Banco Promerica,Promerica,Monetaria en Q,3771,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Konstanze,Blood,7873382966,Banco Agromercantil,BAM,Monetaria en $,0,,,
Jolie,Tollfree,4105124471,Banco G&T,G&T,Monetaria en $,0,,,
Deni,Tarn,6467582497,Banco G&T,G&T,Monetaria en $,4968,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Colas,Feek,440057779,Banco Agromercantil,BAM,Monetaria en $,0,,,
Cherry,Youtead,6393106875,Banco de desarrollo rural,BANRURAL,Monetaria en Q,2311,,,
Cully,Matyugin,7652775906,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Carmita,Hiscoke,8640571546,Banco Agromercantil,BAM,Monetaria en Q,2277,,,
Tripp,Ingree,3888897025,Banco Agromercantil,BAM,Ahorro,1610,,,
Arleta,Umbert,1805028979,Banco Industrial,BI,Monetaria en $,0,,,
Hali,Peebles,1909436437,Banco Promerica,Promerica,Ahorro,3556,,,
Javier,Theodore,1485345081,Banco Industrial,BI,Monetaria en $,1602,,,
Morgun,Coots,6920115220,Banco Promerica,Promerica,Monetaria en $,0,,,
Vassili,Drowsfield,3345353652,Banco Agromercantil,BAM,Monetaria en Q,3999,,,
Ike,Nickels,6290621491,Banco de desarrollo rural,BANRURAL,Monetaria en Q,423,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,315,,,
Hieronymus,Penn,3070506224,Banco de desarrollo rural,BANRURAL,Monetaria en $,1264,,,
Reinwald,Raphael,3808552263,Banco Industrial,BI,Monetaria en Q,0,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Janith,Metheringham,6172401947,Banco Industrial,BI,Monetaria en $,0,,,
Deni,Tarn,6467582497,Banco Promerica,Promerica,Monetaria en $,0,,,
Raff,Meah,3693967563,Banco Industrial,BI,Ahorro,1190,,,
Arlin,Bruckner,7819264039,Banco Promerica,Promerica,Ahorro,3228,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,0,,,
Leann,Buncher,7589827045,Banco Industrial,BI,Monetaria en $,973,,,
Jeanne,Ciottoi,3199681735,Banco Industrial,BI,Monetaria en Q,4642,,,
Vonny,Westall,2354138652,Banco G&T,G&T,Ahorro,0,,,
Morgun,Coots,6920115220,Banco Promerica,Promerica,Monetaria en $,0,,,
Colas,Feek,440057779,Banco G&T,G&T,Monetaria en $,2906,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Collie,Leatherland,3334586502,Banco Industrial,BI,Monetaria en Q,0,,,
Elnore,Foy,6154977174,Banco de desarrollo rural,BANRURAL,Ahorro,771,,,
Margo,Aspinall,8574878405,Banco de desarrollo rural,BANRURAL,Monetaria en $,485,,,
Dale,Goslin,4243293546,Banco G&T,G&T,Ahorro,0,,,
Chrissy,Fells,1432225464,Banco G&T,G&T,Ahorro,0,,,
Alfie,Castellaccio,2344960856,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Raff,Meah,3693967563,Banco G&T,G&T,Monetaria en $,1225,,,
Devin,Sheere,2286509069,Banco Agromercantil,BAM,Ahorro,3494,,,
Koressa,Knowler,7737952055,Banco Promerica,Promerica,Ahorro,3065,,,
Arron,Dalziel,4113842388,Banco de desarrollo rural,BANRURAL,Monetaria en $,391,,,
Ulla,Balloch,3278286464,Banco Promerica,Promerica,Monetaria en Q,0,,,
Hali,Peebles,1909436437,Banco Promerica,Promerica,Monetaria en $,0,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,567,,,
Abigale,Crann,1187255777,Banco Agromercantil,BAM,Monetaria en $,0,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Manuel,Gouldstone,2293547442,Banco G&T,G&T,Ahorro,0,,,
Hali,Peebles,1909436437,Banco Industrial,BI,Ahorro,243,,,
Konstanze,Blood,7873382966,Banco Agromercantil,BAM,Monetaria en $,0,,,
Colas,Feek,440057779,Banco Industrial,BI,Monetaria en $,0,,,
Esme,Seifenmacher,7341877243,Banco Industrial,BI,Monetaria en $,0,,,
Arlin,Bruckner,7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en $,1663,,,
Kizzie,Pettman,6981272008,Banco Industrial,BI,Ahorro,0,,,
Koressa,Knowler,7737952055,Banco Industrial,BI,Monetaria en $,4003,,,
Maressa,Delgadillo,3899636643,Banco Industrial,BI,Ahorro,0,,,
Collie,Leatherland,3334586502,Banco Promerica,Promerica,Ahorro,0,,,
Jeanie,Badman,2320648240,Banco Agromercantil,BAM,Ahorro,1563,,,
Margo,Aspinall,8574878405,Banco Agromercantil,BAM,Ahorro,0,,,
Ty,Kittow,1976810418,Banco G&T,G&T,Monetaria en $,0,,,
Horatia,Brumpton,1653130695,Banco Agromercantil,BAM,Monetaria en $,0,,,
Raff,Meah,3693967563,Banco Industrial,BI,Ahorro,1190,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,1612,,,
Sunny,Alvin,6456388384,Banco Promerica,Promerica,Monetaria en $,760,,,
Joelynn,De Gregoli,9835876975,Banco G&T,G&T,Monetaria en Q,3214,,,
Carmita,Hiscoke,8640571546,Banco Agromercantil,BAM,Monetaria en Q,2277,,,
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,1863,,,
Tina,De Beauchemp,6668839878,Banco Agromercantil,BAM,Ahorro,3027,,,
Daffy,Marages,2720935689,Banco Promerica,Promerica,Monetaria en Q,1575,,,
Willie,Brahan,3601075148,Banco G&T,G&T,Monetaria en $,3085,,,
Collie,Leatherland,3334586502,Banco Promerica,Promerica,Ahorro,0,,,
Jolie,Tollfree,4105124471,Banco G&T,G&T,Monetaria en $,0,,,
Zack,Stainton - Skinn,5413394497,Banco Promerica,Promerica,Monetaria en Q,0,,,
Boote,Pina,208181717,Banco Industrial,BI,Monetaria en Q,900,,,
Antonetta,Bowler,4380702766,Banco de desarrollo rural,BANRURAL,Ahorro,217,,,
Abigale,Crann,1187255777,Banco Industrial,BI,Ahorro,0,,,
Giordano,Rimington,270162925,Banco de desarrollo rural,BANRURAL,Ahorro,547,,,
Gearard,Laye,9158606432,Banco de desarrollo rural,BANRURAL,Monetaria en $,2879,,,
Stormy,Mathieu,1952883946,Banco G&T,G&T,Monetaria en $,0,,,
Cully,Matyugin,7652775906,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Ardys,Cave,3418211453,Banco Promerica,Promerica,Ahorro,0,,,
Neill,Esser,7964176803,Banco Industrial,BI,Monetaria en Q,1322,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Monetaria en Q,2872,,,
Collie,Leatherland,3334586502,Banco Industrial,BI,Monetaria en Q,0,,,
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0,,,
Stormy,Mathieu,1952883946,Banco Agromercantil,BAM,Ahorro,3270,,,
Arlin,Bruckner,7819264039,Banco de desarrollo rural,BANRURAL,Monetaria en $,1663,,,
Collie,Leatherland,3334586502,Banco G&T,G&T,Monetaria en Q,0,,,
Arleta,Umbert,1805028979,Banco G&T,G&T,Monetaria en Q,1863,,,
Bobbette,Dutton,930849132,Banco G&T,G&T,Monetaria en $,0,,,
Collie,Leatherland,3334586502,Banco Industrial,BI,Monetaria en Q,0,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Sax,Stephenson,4640351089,Banco Agromercantil,BAM,Ahorro,0,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,1612,,,
Konstanze,Blood,7873382966,Banco Agromercantil,BAM,Monetaria en $,0,,,
Timmi,Hovie,5618537931,Banco G&T,G&T,Ahorro,784,,,
Deni,Tarn,6467582497,Banco Promerica,Promerica,Monetaria en $,0,,,
Phaidra,Thornthwaite,7422400781,Banco de desarrollo rural,BANRURAL,Monetaria en Q,0,,,
Alfie,Castellaccio,2344960856,Banco Agromercantil,BAM,Monetaria en Q,690,,,
Alfie,Castellaccio,2344960856,Banco Agromercantil,BAM,Monetaria en Q,0,,,
Kit,Tottman,445543914,Banco G&T,G&T,Monetaria en $,0,,,
Maggee,Shergold,6816494733,Banco Promerica,Promerica,Ahorro,3276,,,
Willie,Brahan,3601075148,Banco Promerica,Promerica,Monetaria en $,2527,,,
Jeanne,Ciottoi,3199681735,Banco Industrial,BI,Monetaria en Q,4642,,,
Ty,Kittow,1976810418,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Chrissy,Fells,1432225464,Banco G&T,G&T,Ahorro,0,,,
Colas,Feek,440057779,Banco Agromercantil,BAM,Monetaria en $,0,,,
Hali,Peebles,1909436437,Banco de desarrollo rural,BANRURAL,Ahorro,0,,,
Leann,Buncher,7589827045,Banco Industrial,BI,Monetaria en $,973,,,
Koressa,Knowler,7737952055,Banco G&T,G&T,Monetaria en $,0,,,
Nelia,Hathway,1962610551,Banco Industrial,BI,Monetaria en $,3149,,,
Chrissy,Fells,1432225464,Banco Industrial,BI,Monetaria en $,0,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Collie,Leatherland,3334586502,Banco G&T,G&T,Monetaria en Q,0,,,
Hieronymus,Penn,3070506224,Banco de desarrollo rural,BANRURAL,Monetaria en $,1264,,,
Alfie,Castellaccio,2344960856,Banco Agromercantil,BAM,Monetaria en Q,690,,,
Henriette,Stag,5203620156,Banco de desarrollo rural,BANRURAL,Monetaria en $,0,,,
Horatia,Brumpton,1653130695,Banco G&T,G&T,Ahorro,4782,,,
Inga,Cromleholme,3179095431,Banco Agromercantil,BAM,Ahorro,4234,,,
Esme,Seifenmacher,7341877243,Banco Promerica,Promerica,Monetaria en Q,1522,,,
